<!--
© 2024 Fraunhofer-Gesellschaft e.V., München

SPDX-License-Identifier: AGPL-3.0-or-later
-->
LABEL_REGION	MORB_IND	YEAR	COEFF
Turkmenistan	Labor force WLD	2025	94.98109139
Turkmenistan	Hospital admissions	2030	2617.385662
Turkmenistan	Labor force WLD	2030	115.3292349
Turkey	Hospital admissions	2000	1349.859271
Turkey	Labor force WLD	2000	76.62136318
Turkey	Hospital admissions	2005	1349.859271
Turkey	Labor force WLD	2005	76.62136318
Turkey	Hospital admissions	2010	1349.859271
Turkey	Labor force WLD	2010	76.62136318
Turkey	Hospital admissions	2015	1764.047144
Turkey	Labor force WLD	2015	102.6788912
Turkey	Hospital admissions	2020	2178.235017
Turkey	Labor force WLD	2020	128.7364193
Turkey	Hospital admissions	2025	2606.17199
Turkey	Labor force WLD	2025	149.5395953
Turkey	Hospital admissions	2030	3034.108964
Turkey	Labor force WLD	2030	170.3427714
Ukraine	Hospital admissions	2000	693.6606104
Ukraine	Labor force WLD	2000	29.97397738
Ukraine	Hospital admissions	2005	693.6606104
Ukraine	Labor force WLD	2005	29.97397738
Ukraine	Hospital admissions	2010	693.6606104
Ukraine	Labor force WLD	2010	29.97397738
Ukraine	Hospital admissions	2015	792.0187934
Ukraine	Labor force WLD	2015	34.06155555
Ukraine	Hospital admissions	2020	890.3769765
Ukraine	Labor force WLD	2020	38.14913372
Ukraine	Hospital admissions	2025	1078.329225
Ukraine	Labor force WLD	2025	45.96008965
Ukraine	Hospital admissions	2030	1266.281473
Ukraine	Labor force WLD	2030	53.77104558
